SITC2,SITC1,weight,group_id
6716,6714,0.2545944993729105,47
6716,6715,0.7454055006270895,47
8973,8971,1.0,76
8974,8971,1.0,76
9710,8971,0.513046659264587,76
8972,8972,1.0,76
9710,8972,0.486953340735413,76
7861,7316,0.1724694306106682,69
7915,7316,1.0,69
7861,7333,0.8275305693893317,69
7868,7333,1.0,69
3232,3218,0.9137961390005956,21
5221,5131,0.4032127882534907,21
3232,5132,0.0862038609994042,21
5221,5132,0.5967872117465091,21
0573,0513,0.9999999999994796,4
0575,0515,0.4011054122280757,4
0576,0519,2.249809465699828e-09,4
0579,0519,0.9999999998831826,4
0573,0520,5.202118379011237e-13,4
0575,0520,0.5988945877719241,4
0576,0520,0.9999999977501904,4
0579,0520,1.168174273644427e-10,4
7452,7196,1.0,63
7753,7196,1.0,63
7919,7196,1.0049479670049531e-09,63
7919,7317,0.999999998995052,63
7213,7123,1.0,60
7435,7123,2.2915361312496134e-10,60
7436,7123,0.0948020134414013,60
7439,7123,1.626136528179246e-10,60
7421,7192,1.0,60
7422,7192,1.0,60
7423,7192,1.0,60
7428,7192,1.0,60
7429,7192,1.0,60
7431,7192,1.0,60
7432,7192,1.0,60
7433,7192,1.0,60
7434,7192,1.0,60
7435,7192,0.9999999997708464,60
7436,7192,0.9051979865585986,60
7439,7192,0.9999999998373864,60
4113,4113,1.0,26
4313,4113,6.761329302366228e-13,26
4313,4313,0.9999999999993238,26
6597,6578,0.9390201800252695,44
6597,8992,0.0609798199747303,44
8997,8992,1.0,44
8998,8992,0.0448146847000128,44
8998,8995,0.9551853152999872,44
2772,2752,1.0,15
2789,2752,1.532377869404262e-14,15
2789,2761,0.1257484244195136,15
2789,2769,0.874251575580471,15
8928,8923,0.1494140821141376,73
8928,8929,0.8505859178858624,73
3330,3310,1.0,22
3344,3310,0.3735079324244175,22
3344,3324,0.6264920675755824,22
5231,5141,0.5935323306924334,29
5232,5141,0.0436114598151225,29
5231,5142,0.4064676693075664,29
5232,5142,0.7044403407523581,29
5232,5143,0.2519481994325193,29
5233,5143,1.0,29
7111,7111,1.0,58
7119,7111,0.9489472235315168,58
7112,7112,1.0,58
7119,7112,0.0510527764684833,58
6724,6721,0.27158120705041,48
6724,6723,0.7284187929495898,48
6741,6741,1.0,50
6744,6741,1.0,50
6749,6741,0.4503013767810964,50
6745,6742,1.0,50
6749,6742,0.0096294495361043,50
6746,6743,1.0,50
6749,6743,7.588513955672492e-11,50
6749,6748,0.540069173606914,50
7912,7311,0.2815650496297676,70
7912,7313,0.7184349503702323,70
2450,2411,0.4274901261709762,8
2460,2411,0.1172174216580801,8
2450,2412,0.5725098738290239,8
2460,2421,0.2280551548166873,8
2460,6318,0.6547274235252324,8
6349,6318,1.0,8
6352,6318,1.7835133631950842e-09,8
6359,6318,9.293473042113928e-10,8
6352,6322,0.9999999982164866,8
6359,6328,0.9999999990706528,8
5831,5812,1.0,33
5832,5812,1.0,33
5833,5812,1.0,33
5834,5812,1.0,33
5835,5812,1.0,33
5836,5812,1.0,33
5837,5812,1.0,33
5838,5812,1.0,33
5839,5812,1.0,33
8931,5812,3.942122427918919e-10,33
8932,5812,0.917190392574396,33
8933,5812,5.641566327138536e-10,33
8935,5812,2.0950588320043855e-10,33
8939,5812,2.3152372138438616e-11,33
8482,8416,0.7983320876028923,33
8482,8930,0.2016679123971076,33
8931,8930,0.9999999996057876,33
8932,8930,0.0828096074256037,33
8933,8930,0.9999999994358432,33
8935,8930,0.999999999790494,33
8939,8930,0.9999999999768476,33
7512,7142,3.691647836733597e-07,64
7521,7142,0.624474268879902,64
7522,7142,0.0712303637823124,64
7523,7142,0.0315445463938967,64
7524,7142,0.9738858448699907,64
7525,7142,9.25415545147634e-08,64
7528,7142,0.5967410302173808,64
7512,7143,0.9999996308352164,64
7521,7143,0.3755257311200979,64
7522,7143,0.9287696362176874,64
7523,7143,0.9684554536061032,64
7524,7143,0.0261141551300091,64
7525,7143,0.9999999074584454,64
7528,7143,0.403258969782619,64
6973,6971,0.8289216533724388,56
6974,6972,0.7501105452815123,56
6975,6972,0.4219493431067389,56
6974,6979,0.2498894547184876,56
6978,6979,0.2998317816565072,56
6973,7194,0.1710783466275612,56
6978,7194,0.7001682183434927,56
6975,8123,0.578050656893261,56
6712,6711,0.2341329283643902,46
6712,6712,0.7658670716356099,46
7518,7149,0.1773129068959714,65
7591,7149,0.9999999999960518,65
7599,7149,1.0,65
7518,8616,0.8226870931040285,65
7591,8616,3.94818216561957e-12,65
8813,8616,1.0,65
2614,2611,0.7647533101876148,11
2614,2612,0.2352466898123852,11
5322,5321,0.3783542111653384,31
5322,5324,0.5138310441945219,31
5322,5325,0.1078147446401395,31
0484,0484,0.9999999999999538,3
0484,0488,4.6189537078845074e-14,3
0488,0488,1.0,3
7611,7241,1.0,66
7612,7241,1.0,66
7643,7241,0.0235804858021303,66
7648,7241,0.9845957959820392,66
7649,7241,2.0979006952393368e-11,66
7621,7242,1.0,66
7622,7242,1.0,66
7628,7242,1.0,66
7643,7242,0.9764195141978697,66
7648,7242,0.0154042040179605,66
7649,7242,1.8036649911406463e-11,66
7641,7249,1.0,66
7642,7249,1.0,66
7649,7249,0.9999999998812612,66
7631,8911,1.0,66
7638,8911,1.0,66
7649,8911,7.97231128806277e-11,66
2881,2840,1.0,18
2882,2840,1.0,18
6863,2840,0.0117582530110141,18
6891,2840,1.0501687000943671e-09,18
